algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.053,5.711,0.994,0.994,0.994,0.994,0.994,0.990,0.989,0.990,0.006,0.006,0.010,0.020,0.140,0.941,96.295
Linear Regression,0.010,1.382,0.871,0.859,0.871,0.862,0.859,0.780,0.783,0.777,0.129,0.129,0.149,0.422,0.649,0.502,19.959
Logistic Regression,0.047,272.167,0.926,0.917,0.926,0.920,0.917,0.874,0.868,0.874,0.074,0.074,0.105,0.172,0.415,0.625,67.639
KNN,73.647,0.174,0.989,0.989,0.989,0.989,0.989,0.981,0.978,0.981,0.011,0.011,0.018,0.034,0.185,0.888,93.530
Random Forest,3.603,87.743,0.995,0.995,0.995,0.995,0.995,0.992,0.991,0.992,0.005,0.005,0.008,0.017,0.130,0.929,96.810
MLP,0.282,1404.000,0.990,0.990,0.990,0.990,0.990,0.983,0.981,0.983,0.010,0.010,0.017,0.031,0.177,0.916,94.056
Bagging,1.184,66.346,0.995,0.995,0.995,0.995,0.995,0.991,0.990,0.991,0.005,0.005,0.009,0.017,0.130,0.945,96.771
J48,0.080,6.055,0.994,0.994,0.994,0.994,0.994,0.990,0.988,0.990,0.006,0.006,0.011,0.021,0.146,0.937,95.942
ANN,19.617,357.616,0.959,0.955,0.959,0.957,0.955,0.931,0.926,0.931,0.041,0.041,0.066,0.120,0.347,0.663,77.232
DNN,16.816,315.647,0.977,0.976,0.977,0.976,0.976,0.961,0.956,0.961,0.023,0.023,0.037,0.067,0.259,0.785,87.297
Gradient Boosting,2.474,1121.762,0.992,0.992,0.992,0.992,0.992,0.986,0.984,0.986,0.008,0.008,0.014,0.026,0.161,0.888,95.074
XGBoost,0.824,28.544,0.996,0.996,0.996,0.996,0.996,0.993,0.992,0.993,0.004,0.004,0.007,0.014,0.117,0.951,97.385
Gaussian Naive Bayes,0.426,0.707,0.425,0.583,0.425,0.293,0.254,0.317,0.217,0.235,0.575,0.575,0.684,0.961,0.980,0.496,-81.230
Adaptive Gradient Boosting,17.689,1006.232,0.977,0.978,0.977,0.977,0.977,0.961,0.957,0.961,0.023,0.023,0.041,0.078,0.280,0.901,85.113
QDA,0.563,1.802,0.465,0.627,0.465,0.511,0.571,0.251,0.351,0.236,0.535,0.535,0.747,1.257,1.121,0.524,-69.712
SNN,21.183,388.680,0.984,0.984,0.984,0.984,0.984,0.973,0.969,0.973,0.016,0.016,0.026,0.048,0.219,0.870,90.871
RBM,24.560,446.719,0.519,0.363,0.519,0.355,0.298,-0.004,0.269,-0.000,0.481,0.481,0.510,0.571,0.755,0.200,-0.088
LSTM,80.717,4225.915,0.984,0.984,0.984,0.984,0.984,0.973,0.970,0.973,0.016,0.016,0.026,0.047,0.217,0.886,91.092
reconstruction_NN,19.912,396.308,0.979,0.978,0.979,0.978,0.978,0.964,0.960,0.964,0.021,0.021,0.036,0.068,0.261,0.752,87.115
DANN,25.034,376.012,0.980,0.980,0.980,0.980,0.980,0.967,0.962,0.966,0.020,0.020,0.032,0.060,0.245,0.849,88.600
DBN,1.032,1083.967,0.820,0.793,0.820,0.792,0.783,0.688,0.695,0.681,0.180,0.180,0.270,0.457,0.676,0.405,19.446
DBM,17.018,366.087,0.985,0.985,0.985,0.985,0.985,0.975,0.972,0.975,0.015,0.015,0.023,0.043,0.207,0.893,91.862
DA,18.071,627.223,0.987,0.987,0.987,0.987,0.987,0.978,0.975,0.978,0.013,0.013,0.022,0.041,0.201,0.894,92.298
PassiveAggressiveClassifier,0.070,10.125,0.905,0.898,0.905,0.901,0.899,0.838,0.836,0.837,0.095,0.095,0.135,0.222,0.471,0.599,58.143
RidgeClassifier,0.048,1.156,0.916,0.911,0.916,0.909,0.908,0.857,0.847,0.855,0.084,0.084,0.115,0.179,0.424,0.572,66.137
NearestCentroid,0.096,0.346,0.866,0.871,0.866,0.866,0.868,0.775,0.775,0.773,0.134,0.134,0.169,0.247,0.497,0.611,53.253
CSLR,0.048,29.467,0.928,0.919,0.928,0.920,0.917,0.877,0.868,0.876,0.072,0.072,0.103,0.168,0.410,0.615,68.607
CSBC,0.909,26.362,0.961,0.957,0.961,0.957,0.956,0.934,0.926,0.934,0.039,0.039,0.066,0.126,0.356,0.643,76.348
LightGBM,2.127,25.374,0.991,0.991,0.991,0.991,0.991,0.985,0.983,0.985,0.009,0.009,0.016,0.033,0.183,0.919,93.651
LDA,2.674,66.428,0.884,0.871,0.884,0.876,0.873,0.804,0.805,0.803,0.116,0.116,0.163,0.259,0.509,0.524,50.825
GRU,10.921,371.602,0.968,0.967,0.968,0.967,0.967,0.946,0.940,0.946,0.032,0.032,0.050,0.091,0.302,0.734,83.059
Stochastic_gradient,0.020,1.873,0.919,0.912,0.919,0.913,0.912,0.862,0.854,0.861,0.081,0.081,0.113,0.180,0.424,0.606,66.591
Extra Trees Classifier,0.603,7.806,0.990,0.990,0.990,0.990,0.990,0.984,0.981,0.984,0.010,0.010,0.016,0.030,0.174,0.841,94.329
Feed Forward Neural Networks,2.761,47.601,0.970,0.969,0.970,0.970,0.969,0.950,0.945,0.950,0.030,0.030,0.048,0.088,0.297,0.770,83.569
Fuzzy,0.098,9.139,0.167,0.537,0.167,0.251,0.367,0.051,0.148,0.042,0.833,0.833,3.721,21.659,4.654,0.093,-1664.806
EDLNs,14.895,353.406,0.975,0.974,0.975,0.974,0.974,0.958,0.952,0.958,0.025,0.025,0.040,0.072,0.269,0.783,86.480
GMM,34.522,2.236,0.844,0.910,0.844,0.864,0.889,0.771,0.778,0.759,0.156,0.156,0.245,0.428,0.654,0.659,26.134
Bernoulli Naive Bayes,0.027,0.118,0.829,0.833,0.829,0.830,0.831,0.712,0.728,0.711,0.171,0.171,0.239,0.398,0.631,0.600,25.749
CatBoost,0.125,120.506,0.991,0.991,0.991,0.991,0.991,0.985,0.983,0.985,0.009,0.009,0.015,0.028,0.168,0.844,94.706
Centralised Blending,0.000,14.450,0.985,0.984,0.985,0.984,0.984,0.975,0.971,0.975,0.015,0.015,0.021,0.034,0.185,0.753,93.633
BLoCNet,2.735,64.128,0.970,0.970,0.970,0.970,0.970,0.950,0.945,0.950,0.030,0.030,0.047,0.084,0.290,0.788,84.265
constructive_learning,0.017,0.420,0.985,0.985,0.985,0.985,0.985,0.975,0.971,0.975,0.015,0.015,0.025,0.045,0.213,0.873,91.499
AIS,0.428,9.557,0.991,0.990,0.991,0.990,0.990,0.985,0.982,0.985,0.009,0.009,0.016,0.031,0.175,0.826,94.303
GBBK,0.044,0.102,0.363,0.685,0.363,0.294,0.323,0.236,0.194,0.184,0.637,0.637,0.921,1.613,1.270,0.509,-166.928
GE SVM,4.012,9.798,0.966,0.965,0.966,0.964,0.964,0.943,0.936,0.943,0.034,0.034,0.054,0.096,0.311,0.706,82.113
Hidden Naive Bayes (HNB),0.025,0.107,0.363,0.685,0.363,0.294,0.323,0.236,0.194,0.184,0.637,0.637,0.921,1.613,1.270,0.509,-166.928
HistGradientBoostingClassifier,0.126,10.565,0.984,0.988,0.984,0.986,0.987,0.974,0.974,0.974,0.016,0.016,0.030,0.069,0.263,0.835,87.035
IGRF-RFE with k-fold Cross-Validation,0.004,0.304,0.984,0.984,0.984,0.984,0.984,0.973,0.969,0.973,0.016,0.016,0.026,0.049,0.222,0.872,90.819
